customer_id,first_name,last_name,email,phone_number,address,city,state,country,zip_code,signup_date,last_purchase_date,total_purchases,total_spent,loyalty_program_member,customer_segment,preferred_channel,feedback_score,support_tickets_opened,churn_risk
cust_37,Jessica,King,sherriwoods@example.org,+1-232-902-5342x3867,0429 Denise Roads Suite 667,Brettside,Vermont,Brazil,65933,2020-10-07,2020-11-26,759,38019.6,Yes,Platinum,Email,5,27,High
cust_491,Karen,Ford,kylebennett@example.com,001-989-997-4903x04381,6924 Johnson Walk,North Sarahborough,Arkansas,Canada,12722,2020-10-26,2021-07-27,836,26144.31,Yes,Platinum,Email,5,21,High
cust_919,Tasha,Oneal,johnsonlisa@example.net,280-236-4851,82414 Amy Mission,East Aprilchester,California,China,56155,2021-01-23,2021-05-29,962,49416.69,Yes,Platinum,Email,5,17,High
cust_95,Susan,Gibson,dean72@example.net,+1-923-995-6721x76189,7751 Vincent Mountain Apt. 239,New Tashabury,South Carolina,China,60331,2021-01-30,2021-08-26,505,38170.07,Yes,Platinum,Email,5,39,High
cust_833,Michael,Ramirez,carolyn39@example.org,219.454.0638x567,715 Stephen Shoals,Jacobstad,Minnesota,United States,89949,2021-02-03,2021-08-06,539,24532.37,Yes,Platinum,Email,5,33,High
cust_671,Cody,Barron,andrea67@example.org,864.942.6244x70498,01877 Jerry Estate,Steventon,Vermont,Australia,37891,2021-02-11,2021-04-07,649,30377.3,Yes,Platinum,Email,5,30,High
cust_785,Catherine,Bender,jessica41@example.com,972.223.4267,238 Donald Common,Brownhaven,South Carolina,India,86201,2021-03-31,2021-08-28,856,30018.99,Yes,Platinum,Email,5,49,High
cust_438,Michael,Valencia,vharmon@example.com,(911)527-5963,49331 Wendy Parkway,Martinbury,Arkansas,Japan,57122,2021-04-05,2021-06-09,570,29246.66,Yes,Platinum,Email,5,12,High
cust_920,Debra,Moore,jonesmatthew@example.org,+1-511-290-2060x7136,2214 Martin Way,Muellermouth,Tennessee,Australia,32527,2021-04-16,2021-06-22,727,77050.71,Yes,Platinum,Email,5,28,High
cust_827,Andrea,Gonzales,estradajessica@example.net,(390)352-4922,429 Gordon Highway,West Adamland,Indiana,United States,67771,2021-09-19,2021-10-09,677,98484.48,Yes,Platinum,Email,5,31,High
cust_80,Jessica,Simon,sreid@example.com,686-736-3745,750 Cory Tunnel,Smithburgh,New Hampshire,United Kingdom,60337,2021-10-18,2024-09-02,40,5512.88,No,Platinum,Email,2,3,Medium
cust_22,Lynn,Morales,rayglenda@example.org,(594)813-1869,4964 Chelsea Streets Apt. 334,East Johnside,California,Germany,21018,2021-10-20,2023-02-24,55,6968.95,No,Platinum,Phone,2,9,High
cust_499,Michelle,Carey,walkerjennifer@example.com,9307109567,9157 Watson Manors Apt. 347,East Maryview,New Jersey,Germany,57410,2021-10-20,2021-12-07,55,6092.36,No,Platinum,SMS,5,18,High
cust_79,Amber,Morris,keith48@example.net,726-504-2232,2946 Hayes Roads Apt. 684,Shawnfort,Massachusetts,United States,76779,2021-10-20,2024-02-13,27,2677.89,Yes,Platinum,SMS,4,15,High
cust_155,Frank,Quinn,wilsonshannon@example.com,286-489-2686,222 Kayla Center Suite 447,Courtneyville,Florida,Canada,27089,2021-10-21,2024-02-04,88,9675.94,No,Platinum,SMS,1,17,High
cust_998,Brenda,Wood,jason48@example.net,711-857-0347,164 Patrick Hollow,Reginaport,Nebraska,Germany,21822,2021-10-21,2022-05-03,10,5348.89,Yes,Platinum,SMS,4,19,High
cust_536,Michael,Jones,russelltommy@example.net,8069968018,0378 Benson Crossroad Apt. 394,Biancastad,Iowa,Brazil,03189,2021-10-21,2023-04-10,48,8080.33,No,Platinum,Phone,4,5,High
cust_828,Christy,Love,ann63@example.net,001-492-687-9872x87314,2917 Collins Crescent Suite 033,New Angela,Alabama,France,62236,2021-10-22,2022-10-11,16,401.04,Yes,Silver,Phone,1,17,High
cust_608,William,Wilson,bflores@example.org,(702)712-3720,30000 Wright Highway,Chavezshire,Delaware,France,80741,2021-10-23,2023-05-09,46,1613.97,Yes,Gold,Email,1,18,High
cust_869,Erica,Smith,micheleking@example.com,610-661-6649x700,015 Tracy Hills Apt. 962,New Davidville,Delaware,Germany,47511,2021-10-24,2024-04-02,18,2711.64,Yes,Platinum,Phone,2,17,High
cust_485,Mark,Rodriguez,michaelmercado@example.com,681.336.7500x9421,2769 Heather Pine,Hoffmanberg,Wisconsin,China,63155,2021-10-25,2022-11-22,77,5366.23,Yes,Platinum,,4,14,High
cust_989,Chad,Brown,jennifer91@example.com,+1-683-631-7936x470,5452 Duncan Ville,Stuartfort,Missouri,China,48823,2021-10-25,2022-08-05,85,1811.94,No,Gold,Phone,3,18,High
cust_738,Robert,Gonzales,amywright@example.org,499.382.4266,758 Carl Isle Suite 668,Jacobsborough,Alabama,France,27029,2021-10-25,2024-03-01,38,3694.61,Yes,Platinum,Phone,1,7,High
cust_738,Robert,Gonzales,amywright@example.org,499.382.4266,758 Carl Isle Suite 668,Jacobsborough,Alabama,France,27029,2021-10-25,2024-03-01,38,3694.61,Yes,Platinum,Phone,1,7,High
cust_533,Pamela,Garcia,barajassteven@example.net,(819)702-5476x0220,4120 Elizabeth Falls,Santanashire,Minnesota,France,08302,2021-10-29,2024-05-19,54,3535.62,No,Platinum,SMS,2,1,High
cust_388,Chloe,Williams,sharris@example.org,503-652-6356x0229,943 Ortiz Branch Suite 664,Port Kimberly,Kentucky,China,79161,2021-10-29,2023-11-19,88,1666.78,Yes,Gold,None,2,5,High
cust_432,Randy,Thomas,rebeccaking@example.com,775.237.2603x214,6619 Kelly Passage Suite 071,Markport,North Carolina,China,22251,2021-10-30,2022-02-16,56,5239.36,No,Platinum,SMS,4,17,High
cust_132,David,Miller,waustin@example.net,4756957947,92086 Ayers Bypass Suite 627,Lake Aprilmouth,Vermont,United Kingdom,01604,2021-10-30,2022-06-15,28,3423.91,No,Platinum,Phone,2,4,High
cust_639,Kristina,Smith,raymond29@example.org,(443)755-1962x822,82562 West Plaza,Lopezview,Idaho,France,85189,2021-10-31,2024-05-09,90,9487.62,No,Platinum,None,4,7,High
cust_244,John,Davis,ajohnson@example.com,313.712.2068,393 Mcmillan Crest Apt. 315,Glennfurt,Tennessee,Australia,41951,2021-10-31,2022-06-18,50,9638.65,No,Platinum,None,4,13,High
cust_684,Laura,Cook,fernandezjill@example.org,8943134909,797 Mary Junction Apt. 841,West Paul,Louisiana,United Kingdom,69527,2021-11-01,2022-10-10,23,8281.21,Yes,Platinum,Email,3,13,High
cust_335,Debra,Thomas,leahcrane@example.com,494.477.3522x87056,04331 Rivera Circle Suite 921,Danabury,Minnesota,Germany,82921,2021-11-02,2022-05-29,38,4564.7,No,Platinum,None,2,10,High
cust_720,Terrence,Ortiz,oroberts@example.org,+1-802-518-8930,8037 Elizabeth Court Apt. 974,Port Jennifer,Rhode Island,Japan,75960,2021-11-02,2024-03-31,41,8840.48,No,Platinum,SMS,4,8,High
cust_296,Louis,Flores,brandonsnyder@example.org,261-617-2959x639,907 Anderson Lodge,New Samanthaton,Michigan,China,85013,2021-11-04,2023-03-26,46,2240.14,Yes,Platinum,None,3,9,High
cust_853,Michael,Lozano,leroy22@example.com,,91369 Davis Via,Richmondland,Alabama,Canada,51004,2021-11-05,2022-05-04,14,7929.2,Yes,Platinum,Phone,3,16,High
cust_744,Andrew,Clark,qschwartz@example.com,,20860 Kevin Summit,Tylermouth,Colorado,Japan,77732,2021-11-13,2024-02-10,32,1793.63,Yes,Gold,Phone,3,3,High
cust_823,Megan,Martin,gibsonkimberly@example.net,(894)676-1110x797,4565 Hernandez Port Suite 226,West William,Louisiana,Australia,89669,2021-11-14,2022-06-19,51,4891.37,Yes,Platinum,None,1,14,High
cust_882,Daniel,Johnson,brandyclark@example.com,+1-507-569-7216x218,192 Logan Ridge,North Aaron,Michigan,United Kingdom,29904,2021-11-14,2022-02-12,86,6874.74,No,Platinum,SMS,1,8,High
cust_477,Sarah,Stein,kcontreras@example.org,502-617-9821,98579 Hall Meadow Apt. 831,New Erin,Massachusetts,Japan,54034,2021-11-18,2022-07-19,17,2075.51,Yes,Platinum,Phone,2,9,High
cust_900,Thomas,Grant,wardbrandy@example.net,667-838-6569x0448,332 Cindy Cliffs Apt. 489,Michaelmouth,Vermont,India,57871,2021-11-18,2023-10-21,62,5867.72,Yes,Platinum,SMS,2,4,High
cust_187,Nicholas,Smith,robert87@example.net,001-623-626-4870,730 Eric Hills Suite 146,South Rebecca,Tennessee,Canada,32580,2021-11-18,2024-02-10,52,6695.87,Yes,Platinum,,4,10,High
cust_900,Thomas,Grant,wardbrandy@example.net,667-838-6569x0448,332 Cindy Cliffs Apt. 489,Michaelmouth,Vermont,India,57871,2021-11-18,2023-10-21,62,5867.72,Yes,Platinum,SMS,2,4,High
cust_629,Mary,Greer,hsimmons@example.com,362-604-2985,698 Antonio Extensions Apt. 690,New Melissa,Idaho,Canada,25035,2021-11-19,2022-05-29,84,8239.15,No,Platinum,None,5,10,High
cust_879,Heather,Hatfield,gentryeduardo@example.org,,939 Sue Drive,Rhodestown,Nebraska,Germany,43089,2021-11-19,2024-01-09,14,5120.31,No,Platinum,Phone,1,7,High
cust_702,Shawna,Wright,aolson@example.org,+1-710-878-1871x0968,57068 Douglas Meadow Apt. 315,Haroldborough,Alabama,United Kingdom,53486,2021-11-23,2022-06-06,19,5062.8,No,Platinum,None,2,16,High
cust_724,Rhonda,Taylor,slong@example.net,+1-617-321-7429x220,8215 Brittany Lodge Suite 937,South Jeffreyberg,Minnesota,Germany,99004,2021-11-23,2022-07-09,88,9214.77,No,Platinum,Phone,1,19,High
cust_827,Krista,Scott,michael42@example.net,2539764255,878 Johnson Falls Apt. 392,North John,California,Japan,63485,2021-11-24,2024-07-03,-75,5394.43,Yes,Platinum,Phone,1,5,High
cust_600,Justin,Wells,calderonclinton@example.net,2904915386,2542 Sandra Cliff,Port Molly,Colorado,France,80613,2021-11-25,2023-10-16,21,538.35,No,Gold,None,3,1,High
cust_703,Brian,Haley,psawyer@example.net,205-322-4114x20667,45992 Cody Wall Suite 633,East Derek,Florida,United Kingdom,36922,2021-11-27,2024-10-08,72,3699.63,Yes,Platinum,None,1,3,Low
cust_176,Katherine,Jackson,angela73@example.net,2212962071,94672 Douglas Groves,Jenkinsburgh,South Carolina,China,91160,2021-11-28,2022-06-05,61,8729.45,Yes,Platinum,Phone,5,6,High
cust_115,Julia,Hoffman,williamrobles@example.net,506-766-5800x4397,347 Tonya Club,East Jill,Delaware,India,49941,2021-12-01,2022-09-20,54,4541.92,Yes,Platinum,SMS,3,10,High
cust_609,Ashley,Osborne,martinezdavid@example.org,5919692327,906 Amber Street Suite 481,Castilloview,Missouri,United Kingdom,32606,2021-12-01,2021-12-25,97,5375.89,Yes,Platinum,Phone,5,15,High
cust_654,Natalie,Lewis,richardssheila@example.org,975.830.2849,96702 Allen Island,Port Kathy,Vermont,China,40915,2021-12-03,2022-12-10,86,9672.43,Yes,Platinum,Email,3,16,High
cust_594,Rodney,Clark,christopher58@example.net,001-307-205-3260x11939,297 Taylor Way,Michaelbury,Washington,India,56415,2021-12-03,2022-02-03,18,8356.76,Yes,Platinum,Phone,2,9,High
cust_933,Autumn,Evans,smcguire@example.org,+1-778-805-2890,1837 Singh Mills Apt. 988,South Joshua,Kentucky,Canada,47000,2021-12-04,2024-04-11,44,9937.46,No,Platinum,Email,2,16,High
cust_779,Michael,Roberts,john82@example.com,+1-728-455-0743x509,470 Ashley Valley Suite 453,Carolynfort,Montana,Germany,43510,2021-12-06,2023-03-30,99,5992.7,Yes,Platinum,Phone,3,3,High
cust_889,Richard,Rodriguez,scottwilliams@example.net,(913)837-9376x699,608 Cooper Trafficway,Port Lauraport,Rhode Island,Australia,86654,2021-12-07,2022-12-21,29,568.1,Yes,Gold,Email,2,12,High
cust_910,Nicholas,Ingram,colemanmolly@example.org,5594946966,70071 Mills Branch,New Tylerland,Louisiana,Brazil,86479,2021-12-10,2023-02-21,15,2790.97,Yes,Platinum,Phone,4,4,High
cust_667,Nancy,Tucker,icuevas@example.com,(435)896-0530,840 Nathaniel Via,Smithfurt,North Dakota,Brazil,53098,2021-12-10,2024-08-04,50,4769.63,No,Platinum,Email,4,11,Medium
cust_300,Theresa,Parrish,kimberlylopez@example.com,(224)991-2711x30724,4181 Reynolds Drive Suite 868,Brianview,Mississippi,India,13321,2021-12-10,2023-01-12,22,8846.67,No,Platinum,None,3,17,High
cust_459,Tanya,Johnson,vanessaedwards@example.net,984-644-2182,122 Mason Turnpike Apt. 567,New Ryantown,Arizona,France,79040,2021-12-10,2023-10-31,3,7717.52,No,Platinum,Phone,1,1,High
cust_53,Christina,Wright,lisapeck@example.net,,04797 Herrera Vista Apt. 624,Kathrynstad,Arizona,Germany,53006,2021-12-13,2023-07-20,97,9512.53,No,Platinum,SMS,1,15,High
cust_167,Lori,Cruz,jacobjacobs@example.net,,84781 John Roads,Lake Cynthiashire,Maryland,Canada,80853,2021-12-14,2022-12-05,51,5059.39,Yes,Platinum,Phone,5,11,High
cust_671,Alex,Cole,katherinewinters@example.com,,017 Erin Roads,South Tylerville,Massachusetts,United States,55976,2021-12-16,2023-06-15,15,7407.76,No,Platinum,Phone,2,12,High
cust_859,Alexis,Mcmillan,michael03@example.net,001-734-427-1866x925,0926 Adrian Shores,Port Susanville,Texas,United States,98784,2021-12-17,2024-04-12,24,418.48,Yes,Silver,SMS,2,9,High
cust_555,Rachel,Allen,plin@example.org,+1-518-604-6741x3075,852 Pamela Cliffs,Port Paul,Montana,Japan,87152,2021-12-19,2024-03-09,-59,9401.5,Yes,Platinum,Phone,1,1,High
cust_458,Leah,Walker,holmescolleen@example.org,(381)757-2450x00000,911 Timothy Valley,South Kristenside,Tennessee,India,49199,2021-12-19,2023-10-02,1,7265.87,No,Platinum,Email,5,4,High
cust_104,Steven,Wilson,delacruzbrandy@example.net,,56972 Huffman Falls,South Marvinburgh,Massachusetts,United Kingdom,83666,2021-12-20,2023-03-31,17,5406.75,Yes,Platinum,Email,1,4,High
cust_251,Lisa,Adams,sarahsanders@example.com,6278011686,52237 Wayne Creek,Bradleyborough,Idaho,Australia,26838,2021-12-21,2022-06-27,98,8437.12,No,Platinum,None,2,18,High
cust_438,Christina,Fox,dillon79@example.com,(781)479-3406,5844 Butler Freeway Suite 533,Hernandezberg,Arizona,Germany,10915,2021-12-21,2024-06-11,35,1259.14,No,Gold,Email,2,2,High
cust_165,Kelsey,Gray,dnewman@example.org,829.902.2784,54946 Mooney Prairie,New Valeriefurt,Florida,Canada,39060,2021-12-25,2024-07-08,35,4501.46,Yes,Platinum,Email,1,9,High
cust_400,Natalie,Johnston,hollywarner@example.org,825.632.6949,4538 Diana Springs,Juanburgh,California,India,08577,2021-12-25,2022-12-13,67,4212.63,Yes,Platinum,None,2,15,High
cust_175,Brandon,Haynes,alexischen@example.com,579-329-1117,5651 Marc Underpass,Port Brandon,Idaho,Australia,44476,2021-12-26,2022-10-03,5,5729.98,Yes,Platinum,Phone,1,14,High
cust_381,Linda,Baker,michael35@example.net,(712)353-8921x878,583 Adams Villages,South Christinefort,Pennsylvania,Japan,57672,2021-12-27,2024-10-13,60,6450.3,Yes,Platinum,SMS,1,8,Low
cust_573,Justin,Jones,jrobinson@example.net,259-863-6372x62942,54980 Davis Ford Apt. 380,West Audreybury,Virginia,Canada,21083,2021-12-27,2023-10-17,58,4957.9,Yes,Platinum,Email,4,6,High
cust_881,Michaela,Lee,bakermadison@example.org,2824369626,09755 Richard Mount,South Dawnmouth,Alaska,France,95043,2021-12-30,2022-12-13,16,3611.33,Yes,Platinum,Email,5,4,High
cust_502,Eduardo,Gomez,warrenmariah@example.net,300.304.6661x4590,9771 Johnson Summit,Brendaside,Wyoming,Germany,72857,2021-12-31,2023-12-31,33,7904.05,No,Platinum,,5,17,High
cust_682,Stephanie,Rivera,wmorris@example.com,951.724.7640x0068,240 Jones Light Suite 451,East Patricia,Maryland,France,34581,2022-01-01,2023-06-08,61,7999.55,Yes,Platinum,Phone,3,2,High
cust_374,Roger,Harris,haleystacy@example.com,(586)377-5240x1484,2272 Peter Estate,Myersborough,Kansas,India,46429,2022-01-03,2024-09-10,14,2063.74,No,Platinum,Email,2,0,Medium
cust_311,Donna,Johnston,david59@example.net,(999)761-0023x117,312 Campos Manor,North Cherylville,Arizona,United States,98796,2022-01-05,2024-02-20,55,792.9,No,Gold,Phone,2,19,High
cust_999,David,Hall,laura92@example.org,+1-239-740-7173x43466,0060 Sara Pine Apt. 079,Danielborough,Michigan,Germany,17994,2022-01-07,2023-10-10,84,309.48,No,Silver,None,3,6,High
cust_391,Chad,Sanchez,angela28@example.com,7117688092,13060 Lisa Trafficway,Port Jeffreyton,Oregon,Germany,72011,2022-01-07,2023-10-27,75,5448.06,Yes,Platinum,None,4,11,High
cust_236,Eric,Kirby,andrea21@example.com,,7546 Hayden Fort Suite 151,Meganhaven,Ohio,France,84866,2022-01-11,2022-10-17,61,985.25,No,Gold,SMS,1,9,High
cust_975,Renee,Becker,katie19@example.com,001-333-868-6093,988 Lucas Burg,North Miguelside,Illinois,Brazil,78779,2022-01-11,2022-04-30,70,1841.89,No,Gold,Email,2,16,High
cust_839,John,Reed,ruth60@example.org,725.910.7155,404 Edwin Rue,Staceyfurt,Maryland,United Kingdom,09834,2022-01-12,2023-09-30,49,5679.93,No,Platinum,Email,3,7,High
cust_974,James,Garcia,brownjustin@example.com,583-545-5955x62168,766 Ann Tunnel Suite 049,North Wesleyton,Maine,India,26836,2022-01-13,2022-04-12,87,8760.56,Yes,Platinum,Phone,3,4,High
cust_974,James,Garcia,brownjustin@example.com,583-545-5955x62168,766 Ann Tunnel Suite 049,North Wesleyton,Maine,India,26836,2022-01-13,2022-04-12,87,8760.56,Yes,Platinum,Phone,3,4,High
cust_70,Brian,Kim,petersonkayla@example.net,(850)347-7358x6629,11426 Jodi Island Suite 110,Seanview,Connecticut,Australia,17868,2022-01-21,2023-03-28,34,6607.68,Yes,Platinum,,2,17,High
cust_504,Brandon,Castillo,john25@example.com,(938)299-4991,426 Anthony Mountain,New Stevenside,Hawaii,United Kingdom,14354,2022-01-23,2022-03-18,62,1562.31,No,Gold,SMS,4,13,High
cust_634,Jeremy,Morgan,laura03@example.com,001-588-484-3933,62962 Lisa Burg Suite 983,East Marieview,Wisconsin,United States,35919,2022-01-25,2024-06-20,26,1601.99,Yes,Gold,Email,3,8,High
cust_669,Steve,Watson,xhorton@example.org,292-460-0986,7454 Jarvis Ramp Apt. 054,Heathermouth,Iowa,Brazil,67845,2022-01-25,2023-08-03,39,1494.58,Yes,Gold,SMS,2,16,High
cust_595,Amanda,Mckenzie,foleyjennifer@example.org,550-824-3736x1587,71358 Carroll Fords Suite 390,Lake Matthewmouth,Wisconsin,China,56888,2022-01-25,2023-10-17,97,3763.97,Yes,Platinum,None,3,13,High
cust_3,Frank,Gray,gabriellecameron@example.org,505.964.1395,724 John Points Suite 969,Coxberg,North Carolina,United Kingdom,65187,2022-01-25,2022-03-12,90,4231.92,No,Platinum,Phone,2,10,High
cust_336,Justin,Buck,tsilva@example.com,+1-464-688-3192x134,89659 Levy Street,Clarktown,Iowa,India,28870,2022-01-26,2024-04-05,3,2291.9,Yes,Platinum,Phone,1,18,High
cust_64,Bruce,Fry,conniesimmons@example.com,8564856624,34270 Faulkner Point Apt. 634,West Deborah,New Hampshire,Canada,49138,2022-01-27,2024-01-17,96,5363.28,Yes,Platinum,Phone,2,15,High
cust_721,Angela,Rosario,lmueller@example.net,,61065 Stevens Fort Suite 457,North Raymondberg,New Hampshire,China,54813,2022-01-28,2022-09-06,43,168.59,Yes,Silver,,5,15,High
cust_797,Leah,Johnson,robingould@example.com,2608480224,7476 Williams Prairie Apt. 418,Ryanview,Indiana,Canada,05124,2022-01-28,2023-02-18,82,5730.39,No,Platinum,Phone,3,6,High
cust_936,Jacqueline,Little,williamsmaria@example.org,789-733-3528x66013,29573 Daniel Wells,North Jackport,Minnesota,India,61540,2022-01-29,2023-07-21,25,2508.43,Yes,Platinum,SMS,4,3,High
cust_790,Kyle,Dillon,andreamassey@example.com,685.624.7442x035,23873 Gay Plain,Gutierrezfort,New Mexico,Germany,40143,2022-01-30,2022-04-29,59,-2839.43,No,Platinum,Email,3,4,High
cust_425,Cody,Paul,qharris@example.net,5015594463,532 Angela Island Apt. 263,East Christopherview,New York,France,16827,2022-01-30,2024-05-17,87,5109.34,No,Platinum,Email,4,19,High
cust_1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,Colorado,Canada,50298,2022-02-01,2024-05-20,4,7418.09,Yes,Platinum,Phone,2,3,High
cust_454,Pamela,Orozco,petersonjoel@example.org,449-283-0748,65118 Sandy Harbors Apt. 655,Hawkinsburgh,Alaska,Australia,97350,2022-02-01,2023-10-14,67,980.22,Yes,Gold,None,2,6,High
cust_876,Lauren,Green,bethany83@example.net,959.707.9965x85783,816 Fox View Apt. 407,North Wendy,Tennessee,Canada,88309,2022-02-02,2023-12-13,49,3846.07,Yes,Platinum,Email,1,4,High
cust_953,Scott,Simmons,carolgonzalez@example.org,759-569-2066x6048,34435 Lane Points,North Tammyport,Nevada,China,46570,2022-02-02,2024-09-15,98,5281.17,No,Platinum,SMS,4,20,Medium
cust_65,James,Adams,russojacob@example.net,001-583-873-5403x3173,546 Ferguson Knolls,Josehaven,New York,Canada,61581,2022-02-03,2024-09-29,25,2969.5,No,Platinum,Phone,3,0,Low
cust_820,Linda,York,qcollins@example.com,001-335-410-2140,19558 Knight Bridge,West Lindsey,Rhode Island,Germany,59980,2022-02-04,2024-08-08,59,6549.79,Yes,Platinum,None,4,9,Medium
cust_810,Judith,Rios,scott40@example.com,946-597-1479,85595 April Forge Suite 456,North Stevenborough,Rhode Island,Australia,51396,2022-02-05,2022-04-22,93,2583.71,No,Platinum,Email,2,17,High
cust_628,Erin,Rojas,vcole@example.com,697.475.5426x19038,3627 Henry Squares,East Sherry,Georgia,Canada,63696,2022-02-08,2024-02-26,92,8443.43,Yes,Platinum,SMS,3,2,High
cust_170,Sandra,Hall,jwells@example.net,(704)676-5801x85694,49673 April Springs Apt. 580,Port Carloschester,Connecticut,China,69348,2022-02-08,2023-04-22,16,1295.35,Yes,Gold,None,3,10,High
cust_852,Anna,Garcia,rushmatthew@example.org,001-732-851-7904x470,406 Garcia Shore,Roseland,Alaska,Germany,26444,2022-02-09,2024-04-13,16,4216.74,No,Platinum,Phone,3,12,High
cust_437,Melissa,Garcia,hoganalan@example.net,(371)220-0720x24559,5109 Vanessa Ridges,Port Sandraburgh,Montana,China,64773,2022-02-12,2023-09-15,58,2728.62,No,Platinum,Phone,3,0,High
cust_759,Erica,Cummings,zperez@example.org,(734)338-8804,202 Franklin Gardens Suite 450,New Gregory,Washington,France,31636,2022-02-12,2022-10-19,44,2262.65,No,Platinum,,5,9,High
cust_581,Douglas,Williamson,tgarza@example.org,001-679-796-7080x89747,4183 Rodriguez Mountain Apt. 478,Jamieshire,Ohio,Canada,70390,2022-02-12,2023-02-19,25,8920.11,No,Platinum,Email,1,12,High
cust_376,Michelle,Freeman,jeffrey11@example.net,+1-795-837-6601x444,1017 Brenda Forges Suite 417,Obrienfurt,Arizona,Canada,79362,2022-02-13,2024-05-12,69,68.93,Yes,Bronze,Email,1,11,High
cust_164,Laura,Patel,pgarza@example.net,882.876.1539,321 Wilson Ranch Suite 581,Thompsonfurt,California,France,78916,2022-02-14,2024-04-19,78,1445.25,No,Gold,SMS,4,4,High
cust_817,Steven,Thomas,aaron67@example.net,862-217-2048,86930 Olivia Skyway Apt. 645,Scottchester,New Jersey,United States,39627,2022-02-14,2023-10-05,43,1535.5,Yes,Gold,Phone,1,5,High
cust_168,Kimberly,Harrison,vberry@example.com,(444)220-9494x079,904 Miller Parkways Apt. 442,Joshuaview,Alabama,Brazil,97681,2022-02-17,2022-08-06,37,5371.54,Yes,Platinum,None,2,8,High
cust_843,Alexandra,Russell,uzimmerman@example.com,885-769-0509,826 Thompson Bypass Apt. 727,Port Aaron,South Dakota,United States,73111,2022-02-18,2023-11-30,79,1909.94,Yes,Gold,None,5,11,High
cust_633,Megan,Jackson,martinkelsey@example.com,001-743-590-4489x09322,20235 Billy Valleys,Rebeccamouth,Minnesota,India,08283,2022-02-19,2024-06-27,31,1144.45,Yes,Gold,Email,2,9,High
cust_34,Thomas,Strickland,hayesjeffrey@example.net,3849700766,15921 Joshua Roads Suite 698,Shawnchester,Connecticut,Canada,92484,2022-02-20,2023-11-17,49,8722.95,No,Platinum,Phone,2,14,High
cust_651,Joseph,Hoffman,donna30@example.net,,315 Dakota Run Suite 928,West Aaronmouth,Wyoming,Germany,06580,2022-02-20,2022-04-13,94,6775.11,No,Platinum,Phone,4,4,High
cust_456,Christopher,Moore,hernandezdaniel@example.org,001-524-988-8995x729,97454 Sara Union Apt. 364,Bartonmouth,Colorado,United Kingdom,76706,2022-02-21,2023-12-26,69,9984.35,No,Platinum,SMS,3,17,High
cust_358,John,Norris,mthompson@example.com,+1-541-531-2840,977 Amanda Tunnel,West Kristyland,Illinois,Japan,63192,2022-02-22,2022-05-13,100,9212.41,Yes,Platinum,Phone,2,3,High
cust_31,Charles,Webster,michelleramsey@example.com,+1-751-660-4817,513 Johnson Points Suite 931,Blankenshipport,Tennessee,France,54017,2022-02-22,2022-04-06,75,5529.73,No,Platinum,Phone,1,9,High
